Categories,amount,Savings,Currency
Vegetable Farming,10000,1000,INR
Fruit Orchards.,20000,1000,INR
Herb Gardens,100000,25000,INR
Mushroom Cultivation,50000,10000,INR
Flower Farming,200000,20000,INR
Microgreens Production,100000,24000,INR
Honey Bee Farming,100000,20000,INR
Duck Farming,120000,1000,INR
Goat Farming,10000,2000,INR
Beekeeping,100000,20000,INR
Aquaponics,300000,100000,INR
Worm Farming,20000,1000,INR
Small-Scale Livestock Farming,10000,2000,INR
Vertical Farming,100000,20000,INR
Hydroponics,1000000,20000,INR
Organic Farming,10000,2000,INR
Seed Saving,10000,2000,INR
Poultry Egg Incubation,10000,1300,INR
Farm-to-Table Cooking Classes,100000,20000,INR
Farm Tours,10000,2000,INR
Agricultural Workshops,30000,12000,INR
Farm-to-Table Catering,10000,2000,INR
Natural Soap Making,12000,3000,INR
Farmstay Accommodations,1000,300,INR
,,,INR
Compost Sales,100000,25000,INR
Farmers' Market Stall,12000,2000,INR
CSA (Community Supported Agriculture),15000,4000,INR
Online Farm Shop,30000,10000,INR
